year,department_name,state,lat,lon,total_pop,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime,months_reported,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k
1975,Philadelphia,,39.952335,-75.163789,1883253,435,716,10405,4776,16332,12,867.222832,23.09833039,38.01932082,552.501443,253.6037378
1975,Phoenix,,33.4467681,-112.0756724,668046,75,311,1938,2325,4649,12,695.9101619,11.22677181,46.55368044,290.0997835,348.0299261
1975,Pittsburgh,,40.4416941,-79.9900861,479083,63,237,2744,1923,4967,12,1036.772334,13.15012221,49.46950737,572.7608786,401.3918256
1975,Portland, Ore.,45.5202471,-122.6741949,373126,48,287,1843,1898,4076,12,1092.392382,12.86428713,76.9177168,493.9350246,508.6753536
1975,Raleigh, N.C.,35.7804015,-78.6390779,149940,17,20,221,463,721,12,480.8590103,11.33786848,13.3386688,147.3922902,308.7901827
1975,Sacramento, Calif.,38.5815719,-121.4943996,262994,42,155,1128,1087,2412,12,917.1311893,15.96994608,58.93670578,428.9071234,413.3174141
1975,Salt Lake City,,40.7670126,-111.8904308,180000,11,99,582,378,1070,12,594.4444444,6.111111111,55,323.3333333,210
1975,San Antonio,,29.4246002,-98.4951405,768814,131,275,1730,2086,4222,12,549.1575336,17.03923186,35.76937985,225.0219169,271.327005
1975,San Diego,,32.7174209,-117.1627714,768713,64,229,2199,1367,3859,12,502.0079015,8.325603964,29.79005168,286.0625487,177.8296972
1975,San Francisco,,37.7792768,-122.4192704,669977,138,547,5687,2765,9137,12,1363.77816,20.59772201,81.64459377,848.8351093,412.7007345
1975,San Jose,,37.3438502,-121.8831349,549367,40,234,887,955,2116,12,385.170569,7.281107165,42.59447692,161.4585514,173.8364336
1975,Seattle,,47.6038321,-122.3300624,503500,52,324,2103,1492,3971,12,788.6792453,10.32770606,64.34955313,417.6762661,296.32572
1975,St. Louis, Mo.,38.6272733,-90.1978889,569000,240,462,6288,3573,10563,12,1856.414763,42.17926186,81.19507909,1105.096661,627.943761
1975,Tampa, Fla.,27.9477595,-82.458444,291103,67,162,1394,1545,3168,12,1088.274597,23.01590846,55.65040553,478.8683043,530.7399786
1975,Tucson, Ariz.,32.2217422,-110.9264759,340500,23,137,707,943,1810,12,531.5712188,6.754772394,40.2349486,207.6358297,276.9456681
1975,Tulsa, Okla.,36.1556805,-95.9929113,347600,39,136,581,1012,1768,12,508.6306099,11.21979287,39.12543153,167.146145,291.1392405
1975,Virginia Beach, Va.,36.7953025,-76.05092502,217192,22,38,194,198,452,12,208.110796,10.12928653,17.49604037,89.32189031,91.16357877
1975,Washington, D.C.,38.8949549,-77.0366456,716000,235,520,9137,2812,12704,12,1774.301676,32.82122905,72.62569832,1276.117318,392.7374302
1975,Wichita, Kan.,37.6922361,-97.3375448,259240,36,53,640,408,1137,12,438.5897238,13.88674587,20.44437587,246.8754822,157.3831199
1976,Albuquerque, N.M.,35.0841034,-106.6509851,292265,28,186,871,1335,2420,12,828.0156707,9.580346603,63.64087386,298.0172104,456.7772398
1976,Arlington, Texas,32.7355816,-97.1071186,107470,5,30,99,140,274,12,254.9548711,4.652461152,27.91476691,92.11873081,130.2689123
1976,Atlanta,,33.7490987,-84.3901849,457300,154,477,3380,3518,7529,12,1646.402799,33.6759239,104.3078942,739.1209272,769.2980538
1976,Austin, Texas,30.2711286,-97.7436995,284908,24,181,518,479,1202,12,421.8905752,8.423771884,63.52927963,181.8130765,168.1244472
1976,Baltimore,,39.2908608,-76.6108073,860974,200,460,7755,5776,14191,12,1648.249541,23.22950519,53.42786193,900.7240637,670.8681098
1976,Boston,,42.3604823,-71.0595678,619437,81,392,6125,3290,9888,12,1596.288242,13.07639034,63.28327175,988.801121,531.1274593
1976,Buffalo, N.Y.,42.8864468,-78.8783689,425101,54,202,1937,898,3091,12,727.1213194,12.70286355,47.51811922,455.6564205,211.2439162
1976,Chicago,,41.8755546,-87.6244212,3134499,814,1179,17577,11070,30640,12,977.5086864,25.96906236,37.61366649,560.7594707,353.1664869
1976,Cincinnati,,39.1014537,-84.5124602,427045,56,263,1525,1617,3461,12,810.4532309,13.11337213,61.58601553,357.1052231,378.6486202
1976,Cleveland,,41.5051613,-81.6934446,642298,236,498,5453,2309,8496,12,1322.750499,36.74306942,77.53410411,848.9828709,359.4904546
1976,Columbus, Ohio,39.9622601,-83.0007065,595500,53,328,1921,985,3287,12,551.9731318,8.900083963,55.0797649,322.5860621,165.4072208
1976,Dallas,,32.7761963,-96.7968994,888450,230,591,3113,3310,7244,12,815.3525803,25.88778209,66.52034442,350.3855028,372.558951
1976,Denver,,39.7391536,-104.9847034,523676,86,383,2042,1596,4107,12,784.2635523,16.42236803,73.13682506,389.9357618,304.7685974
1976,Detroit,,42.3486635,-83.0567375,1334100,663,1230,21213,6593,29699,12,2226.144967,49.69642456,92.19698673,1590.060715,494.1908403
1976,El Paso, Texas,31.8111305,-106.5013493,361413,25,118,792,638,1573,12,435.2361426,6.917294065,32.64962799,219.139876,176.5293445
1976,Fort Worth, Texas,32.753177,-97.3327459,364302,70,174,985,503,1732,12,475.4297259,19.21482726,47.76257061,270.3800693,138.0722587
1976,Fresno, Calif.,36.7394421,-119.7848307,177900,28,55,723,461,1267,12,712.197864,15.73917931,30.91624508,406.4080944,259.1343451
1976,Houston,,29.7589382,-95.3676974,1477000,321,690,5531,1503,8045,12,544.6851726,21.73324306,46.71631686,374.4752877,101.760325
1976,Indianapolis,,39.7683331,-86.1583502,494730,68,347,2366,1363,4144,12,837.6286055,13.74487094,70.13926788,478.2406565,275.5038102
1976,Jacksonville, Fla.,30.3321838,-81.655651,543839,90,279,1558,2516,4443,12,816.9697282,16.54901543,51.30194782,286.4818448,462.6369201
1976,Kansas City, Mo.,39.0844687,-94.5630298,488012,95,350,2410,2723,5578,12,1143.00468,19.46673442,71.71954788,493.8403154,557.9780825
1976,Las Vegas,,36.1662859,-115.149225,265347,35,151,1276,1011,2473,12,931.9871715,13.19027538,56.90661662,480.8797537,381.0105258
1976,Long Beach, Calif.,33.7774658,-118.1884871,340900,69,200,1703,978,2950,12,865.3564095,20.24053975,58.66823115,499.5599883,286.8876503
1976,Los Angeles,,34.053717,-118.2427266,2739100,501,2047,14225,15187,31960,12,1166.806615,18.29067942,74.73257639,519.3311672,554.4521923
1976,Louisville, Ky.,38.2542376,-85.759407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,Memphis, Tenn.,35.1490215,-90.0516285,649819,113,472,2429,1766,4780,12,735.5894488,17.38945768,72.63561084,373.7963956,271.7679846
1976,Mesa, Ariz.,33.436188,-111.5860661,100763,5,15,89,202,311,12,308.6450384,4.96213888,14.88641664,88.32607207,200.4704108
1976,Miami,,25.7742658,-80.1936589,338721,84,145,2313,2630,5172,12,1526.920386,24.799171,42.8080928,682.8628872,776.4502349
1976,Milwaukee,,43.0349931,-87.922497,652517,57,168,1621,846,2692,12,412.5563012,8.735404595,25.74645565,248.4226465,129.6517945
1976,Minneapolis,,44.9772995,-93.2654692,397421,27,300,1407,1220,2954,12,743.2923776,6.793803045,75.4867005,354.0326254,306.9792487
1976,New Orleans,,29.9499323,-90.0701156,557327,170,264,2600,1776,4810,12,863.0480849,30.50273897,47.36895934,466.5124783,318.6639083
1976,New York City,,40.7305991,-73.9865812,7530493,1622,3400,86183,42948,134153,12,1781.46371,21.53909445,45.14976642,1144.453623,570.321226
1976,Newark, N.J.,40.735657,-74.1723667,367886,99,323,3834,2309,6565,12,1784.520205,26.91051032,87.79893771,1042.170672,627.6400842
1976,Oakland, Calif.,37.8044557,-122.2713563,333100,98,309,2894,2213,5514,12,1655.358751,29.42059442,92.76493545,868.8081657,664.3650555
1976,Oklahoma City,,35.4729886,-97.5170536,376522,36,228,770,1326,2360,12,626.7894041,9.561194299,60.55423056,204.5033225,352.1706567
1976,Omaha, Neb.,41.2587317,-95.9378732,388592,19,193,788,1008,2008,12,516.7373492,4.889447029,49.66648824,202.7833821,259.3980319
1976,Orlando, Fla.,28.5421175,-81.3790462,116848,17,98,327,676,1118,12,956.7985759,14.54881556,83.86964261,279.8507463,578.5293715
1976,Philadelphia,,39.952335,-75.163789,1916665,338,764,7786,4225,13113,12,684.1571167,17.63479794,39.86090423,406.2264402,220.4349743
1976,Phoenix,,33.4467681,-112.0756724,669005,53,240,1485,2078,3856,12,576.3783529,7.922212838,35.87417134,221.9714352,310.6105336
1976,Pittsburgh,,40.4416941,-79.9900861,487106,62,287,2419,1853,4621,12,948.6641511,12.72823574,58.91941384,496.6064881,380.4100134
1976,Portland, Ore.,45.5202471,-122.6741949,379818,39,322,1913,2030,4304,12,1133.17431,10.26807576,84.77744604,503.6622804,534.4665076
1976,Raleigh, N.C.,35.7804015,-78.6390779,148093,11,29,138,353,531,12,358.5584734,7.427764986,19.58228951,93.184688,238.3637309
1976,Sacramento, Calif.,38.5815719,-121.4943996,260700,52,192,1187,1368,2799,12,1073.647871,19.94629843,73.64787112,455.3126199,524.7410817
1976,Salt Lake City,,40.7670126,-111.8904308,175400,11,102,482,364,959,12,546.7502851,6.271379704,58.15279361,274.8004561,207.5256556
1976,San Antonio,,29.4246002,-98.4951405,753069,119,263,1262,1641,3285,12,436.2150082,15.80200486,34.92375865,167.5809255,217.9083192
1976,San Diego,,32.7174209,-117.1627714,773400,59,233,2271,1555,4118,12,532.4540988,7.628652702,30.12671321,293.6384794,201.0602534
1976,San Francisco,,37.7792768,-122.4192704,665000,130,619,6628,3379,10756,12,1617.443609,19.54887218,93.08270677,996.6917293,508.1203008
1976,San Jose,,37.3438502,-121.8831349,557700,37,296,967,1223,2523,12,452.3937601,6.63439125,53.07513,173.3907119,219.293527
1976,Seattle,,47.6038321,-122.3300624,503500,42,322,2163,1601,4128,12,819.8609732,8.341608739,63.95233366,429.59285,317.9741807
1976,St. Louis, Mo.,38.6272733,-90.1978889,534206,182,489,5303,3600,9574,12,1792.192525,34.06925418,91.5377214,992.6882139,673.8973355
1976,Tampa, Fla.,27.9477595,-82.458444,274568,42,162,1025,1706,2935,12,1068.951954,15.29675709,59.00177734,373.3137146,621.3397046
1976,Tucson, Ariz.,32.2217422,-110.9264759,340927,24,136,554,750,1464,12,429.4174413,7.039630185,39.89123771,162.4981301,219.9884433
1976,Tulsa, Okla.,36.1556805,-95.9929113,349516,27,131,392,1197,1747,12,499.8340562,7.724968242,37.48040147,112.1550945,342.4735921
1976,Virginia Beach, Va.,36.7953025,-76.05092502,216176,12,59,157,253,481,12,222.5038857,5.551032492,27.29257642,72.62600844,117.0342684
1976,Washington, D.C.,38.8949549,-77.0366456,702000,188,508,7044,2659,10399,12,1481.339031,26.78062678,72.36467236,1003.418803,378.7749288
